date,bitcoin,ethereum,ripple,tether
2025-08-26,110376.50927732198,4494.8136426002775,2.9471234634116117,1.0001253104022183
2025-08-27,111520.21989199378,4595.703844626346,3.0065259550020165,1.0001333553613707
2025-08-28,112464.12934794692,4536.584613499023,2.9864799219722697,1.0000995843668297
2025-08-29,109905.20782548333,4387.656554322307,2.872821458394002,1.0001666636042565
2025-08-30,108500.04613554476,4362.049912593546,2.8093184617124476,1.0001731814930244
2025-08-31,108842.44623889537,4460.9564282210995,2.8250989487096683,1.0001763249768905
2025-09-01,108596.3179835392,4380.185571609702,2.7597387070725623,1.000109003944403
2025-09-02,110365.40001767346,4341.8481698088735,2.8038777254189466,1.0000818514536083
2025-09-03,111529.00298383547,4389.190443953777,2.8487284203850156,1.0001790236848893
2025-09-04,110689.34672480596,4370.514640735648,2.828087560134186,1.0002630645139194
2025-09-05,111541.8916492214,4344.529408732605,2.827168069463596,1.0001814983767445
2025-09-06,110633.66926390705,4296.159811711639,2.8104983409469635,1.0002341357867668
2025-09-07,110941.09216104046,4295.30954754829,2.8449302039296067,1.0001880744450722
2025-09-08,111752.37090051673,4312.820447941672,2.9338708051735836,1.0000058745232872
2025-09-09,111925.89603083575,4318.00718111178,2.9742400243602165,1.0000717657939944
2025-09-10,112674.47384315451,4338.986871695805,2.975698757229072,1.0001831644639874
2025-09-11,114246.97675203346,4416.313187072233,3.0068514406691125,1.0002857342641849
2025-09-12,115533.61340075977,4557.157897402331,3.0596980592207217,1.0004181700904493
2025-09-13,115880.98591304588,4694.7595087805075,3.126583728702482,1.0005402393343739
2025-09-14,115791.32236379689,4642.054941796914,3.072217335523272,1.0006745752370458
2025-09-15,115261.47877388918,4555.411269861846,3.014980535422497,1.0004094853945575
2025-09-16,115798.25361742628,4500.9181214819955,3.0204026050977713,1.0002641796166958
2025-09-17,116362.27338312303,4510.206870522182,3.0283195880151,1.0003972481286902
2025-09-18,117282.33990493814,4597.218533485809,3.102738357543013,1.0003475567263662
2025-09-19,116399.73967256484,4520.950528439316,3.0304243206971058,1.0003313914977765
2025-09-20,115804.83618578814,4478.523768912279,2.988957602183204,1.0004289844906826
2025-09-21,115623.20306772878,4477.867022093279,2.985772436704193,1.000510271144152
2025-09-22,113208.6348297011,4220.37722256785,2.8580481751682907,1.0006241340066062
2025-09-23,112560.8103360081,4184.227595733032,2.858097787137296,1.0005516463246726
2025-09-24,112925.17109123089,4171.61217184801,2.891109679523426,1.0002603275411446
2025-09-25,111264.83226221507,3996.6951016483686,2.830138066232184,1.0002946789076368
2025-09-26,109427.98645454604,3958.4130512212832,2.7589371096354642,1.0005861841916295
2025-09-27,109484.16886859848,4013.678130648807,2.7866349981669463,1.0005144454024062
2025-09-28,109875.40867908795,4020.993068283539,2.8020320063058186,1.0003071661504166
2025-09-29,112828.4270800872,4146.470927642386,2.8767617893016024,1.0003410240871127
2025-09-30,113780.83499883984,4166.380742726488,2.860927984576295,1.0002749000411844
2025-10-01,116028.75300075112,4248.490415674933,2.9003628416311398,1.0002718271516058
2025-10-02,119279.50075801018,4412.005547474172,2.9974311984539823,1.0004707920197864
2025-10-03,121019.69034071195,4495.258311805073,3.0374762725582953,1.0005622572685575
2025-10-04,122144.45414614269,4485.671846446495,2.991696677286835,1.0004724315916649
2025-10-05,123429.65544285056,4533.675140612335,3.0017855463638643,1.0001791814576049
2025-10-06,124424.45249306165,4602.295398778034,2.9975050370491183,1.000313283059307
2025-10-07,123418.04331671733,4623.289376189229,2.943006487787152,1.000456930320046
2025-10-08,122482.04154953279,4482.760617549001,2.876399801293001,1.0002749446874213
2025-10-09,121866.44688051603,4387.83086986094,2.820133950304339,1.000332100108029
2025-10-10,119737.14393609243,4234.334998899046,2.7432649421211983,1.0006240876884835
2025-10-11,111990.71281548154,3804.054700002993,2.432365701129399,1.001478301277894
2025-10-12,112380.54889336725,3914.145090373555,2.430573597397942,1.0010720011237757
2025-10-13,115107.76605224126,4174.709943208661,2.589212397337714,1.0010309457673523
2025-10-14,112669.95347677992,4078.1405530411776,2.5003970043139603,1.0009141446839565
2025-10-15,111939.73012025323,4065.8327264951818,2.4729287636383672,1.0007820234993536
2025-10-16,110224.35534894034,3978.1193292375096,2.395376786498883,1.0006900335460938
2025-10-17,106865.05911051315,3830.8015849316957,2.3000120483191546,1.0005105718052543
2025-10-18,106923.13628488449,3874.1051692325186,2.3498145274344124,1.0006490259506593
2025-10-19,107821.60678846342,3936.3982578031814,2.3756716779728477,1.0005635988816752
2025-10-20,110456.66494256856,4008.812308342351,2.4558367022795555,1.0004719853674104
2025-10-21,109849.41558404919,3938.277221486076,2.456665399776773,1.0005179865468075
2025-10-22,108078.0906660346,3835.107711347069,2.3961992990650964,1.0005055177582662
2025-10-23,109388.9227906197,3858.8882815431157,2.3963982578413403,1.0004176329326462
2025-10-24,110800.13637317244,3924.7500381155974,2.457224939639145,1.000403325254131
2025-10-25,111419.8836323262,3939.0254749462765,2.5707781463440926,1.0003575886672815
2025-10-26,112700.84747212572,4014.0882811518422,2.624680801736071,1.0002827474040186
2025-10-27,115099.14330297634,4181.177735336861,2.6453589553205084,1.000127159359595
2025-10-28,114269.49604361718,4096.773418119202,2.6390446636823115,1.0001198213792264
2025-10-29,112395.125269261,3986.7043085079276,2.6236865233439164,1.0002813317211994
2025-10-30,109137.74631979619,3846.6532119430885,2.5100225678920123,1.000196336597183
2025-10-31,109622.15666626747,3845.657434265769,2.4941308018180037,0.9998702779776744
2025-11-01,110032.04089972966,3867.407762206307,2.5024507454079274,0.9997271514862813
